Name,Image_URL,Image_URL_2,Description
Pink desert rose,,,Pink Adenium obesum : pink desert roseFamily : ApocynaceaeOrigin : Eastern and southern AfricaHeight in its natural environment : 2 mHardiness : 10°CFlower colour : pink (dominant colour)Difficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Natal lily 'Color mix',,,"Clivia miniata 'Color mix' : Natal lily 'Color mix'Family: AmarylidaceaeOrigin : South AfricaHeight in its natural environment : 0,6 mHardiness : -4°CColour of the flower : surpize !Difficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
Buddha belly plant 'Yellow flowers',,,"Jatropha podagrica 'Yellow flowers' : Buddha belly plant 'Yellow flowers'Family : EuphorbiaceesOrigin : Central AmericaHeight in its natural environment : 1,50 mHardiness: 12°CFlower color : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast Grower"
Princess vine,,,"Cissus verticillata : Princess vineFamily: VitacaeOrigin : Mexico, caribeansHeight in its natural environment : 15 mHardiness : 2 °CColour of the flower : yellow /greenDifficulty level : Beginner  Height : about 20 to 100 cm (depending on seasons)  Fast grower"
Short leaves Ponytail palm,,,Beaucarnea gracilis : Short leaves Ponytail palmFamily : AsparagaceaeOrigin : MexicoHeight in its natural environment : 7 mHardiness : 1°CFlower colour : white - creamDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons)  Slow grower
Kalahari Christmas Tree,,,Dichrostachys cinerea : Kalahari Christmas TreeFamily : FabaceaeOrigin : Southern AfricaHeight in its natural environment : 8mHardiness : -9°CColour of the flower : Pink and yellowDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Guava tree,,,Psidium guajava : Guava treeFamily: MyrtaceaeOrigin : South AmericaHeight in its natural environment : 10 mHardiness : -1°CColour of the flower :WhiteDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Soursop tree,,,"Annona muricata : Soursop treeFamily : AnnonaceaeOrigin : Brasil, PeruHeight in its natural environment : 10 mhardiness : 1°CFlower colour : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Yellow Frangipani tree,,,Mimosa pudica : Sensitive plantFamily: FabaceaeOrigin : BrasilHeight in its natural environment : 1mHardiness : 10°CFlower colour : pinkDifficulty level : Expert  Height : about 5 to 20 cm (depending on seasons)  Medium growth
Sensitive plant,,,"Gossypium herbaceum : Cotton treeFamily : MalvaceaeOrigin : Sub Saharan Africa and ArabiaHeight in its natural environment : 1,50 mHardiness : 10°CFlower colour : purple then yellowDifficulty level : Expert  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Cotton tree,,,We are also delighted to be able to offer youArtocarpus lacucha : LakoochaFamily: MoraceaeOrigin : IndiaHeight in its natural environment : 15 mHardiness : -1°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Lakoocha fruit,,,"Tetradium daniellii : Bee-bee treeFamily: RutaceaeOrigin : China, KoreaHeight in its natural environment : 20 mHardiness : -20°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Bee-bee tree,,,"Morinda citrifolia : Noni treeFamily: RubiaceaeOrigin : India, AustraliaHeight in its natural environment : 5 mHardiness : 5°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Noni tree,,,Hibiscus acetosella : African rosemallowFamily : MalvaceaeOrigin : AfricaHeight in its natural environment : 3 mHardiness : 4°CFlower colour: pinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
African rosemallow,,,"Passiflora manicata : Red passion fruitFamily : PassifloraceaeOrigin : Colombia, EquatorHeight in its natural environment : 9 mHardiness : -3°CFlower colour : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Red passion flower,,,"Passiflora edulis f. edulis : Passion fruitFamily : PassifloraceaeOrigin : Paraguay, BrasilHeight in its natural environment: 10 mHardiness: 0°CFlower colour : White and PurpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Passion fruit,,,Antigonon leptopus : Pink coral vineOrigin : MexicoHeight in its natural environment : 12 mHardiness : -7°CFlower colour : pinkDifficulty level : Beginner  Hauteur : environ 5 à 20 cm (selon les saisons)  Very fast grower
Pink coral vine,,,Stephanotis floribunda : Madagascar jasmineFamily : ApocynaceaeOrigin : MadagascarHeight in its natural environment : 5 mHardiness: 5°CFlower colour : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons) Fast grower
Madagascar jasmine,,,"Alpinia zerumbet : Shell ginger plantFamille : ZingiberaceaeOrigin : China and JapanHeight in its natural environment : 3 mHardiness : 5°C but rhizomes can handle frosts up to -10°cFlower colour : white, interior yellow,red and orangeDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower"
Shell ginger plant,,,Red Adenium obesum : Red desert roseFamily : ApocynaceaeOrigin : Eastern and Southern AfricaHaeight in its natural environment : 2 mHardiness : 10°CColour of the flower : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Red desert rose,,,"Clivia miniata : Natal lilyFamily: AmaryllidaceaeOrigin : South AfricaHeight in its natural environment : 0,6 mHardiness : -4°CColour of the flower : orangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
Natal lily,,,Parkinsonia aculeata  :Family:Origin :Height in its natural environment : mHardiness : °CColour of the flower :Difficulty level : Expert  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Parkinsonia aculeata,,,"Tradescantia spathacea : Boat lilyFamily: CommelinaceaeOrigin : Caribean, MexicoHeight in its natural environment : 0,7 mHardiness : -2°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Boat lily,,,Pseudogynoxys chenopodioides : Mexican flame vineFamily: AstéraceaeOrigin : MexicoHeight in its natural environment : 5 mHardiness : -4°CColour of the flower : OrangeDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Mexican flame vine,,,Ravenala madagascariensis : Traveller's treeFamily : StrelitziaceaeOrigin : MadagascarHeight in its natural environment : 30 mHardiness : 15°CFlower color: blanc crèmeDifficulty level : Beginner  Height about 10 to 30 cm  Fast growth
Traveller's tree,,,Podocarpus henkelii : Henkel's yellowwoodFamily: PodocarpaceaeOrigin : South AfricaHeight in its natural environment : 30 mHardiness : -5°CColour of the flower : conesDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Henkel's yellowwood,,,Solanum mammosum : Nipplefruit treeFamily: SolanaceaeOrigin : South AmericaHeight in its natural environment : 2 mHardiness : -3°CColour of the flower : PurpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Nipplefruit tree,,,"Porophyllum linaria  : PipichaFamily: AsteraceaeOrigin : MexicoHeight in its natural environment : 0,6 mHardiness : -4°CColour of the flower : purpleDifficulty level : Beginner  Height : about 15 to 30 cm (depending on seasons)  Fast grower"
Pipicha plant,,,"Dorstenia contrajerva : SnakewortFamily: MoraceaeOrigin : Mexico, CaraïbesHeight in its natural environment : 45 cmHardiness : 2°CColour of the flower : Green/yellowDifficulty level : Beginner  Height : about 5 to 15 cm (depending on seasons)  Slow grower"
Snakewort,,,Monstera deliciosa : Monstera deliciosaFamily: AraceaeOrigin : MexicoHeight in its natural environment : 20 mHardiness : -1°CColour of the flower : White turning yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Monstera deliciosa,,,Punica granatum 'nana' : Dwarf pomegranate treeFamily: LythraceaeOrigin : AsiaHeight in its natural environment : 1mHardiness : -12 °CColour of the flower : Red/OrangeDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons) Fast grower
Dwarf pomegranate tree,,,Artocarpus heterophyllus : Jackfruit treeFamily : MoraceaeOrigin : IndiaHeight in its natural environment : 15 mHardiness : 0°CColor flower : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Jackfruit tree,,,Albizia lebbeck : Womans Tongue Tree Family: FabaceaeOrigin : IndiaHeight in its natural environment : 20 mHardiness : -5°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Womans Tongue Tree,,,Dioon spinulosum : Giant DioonFamily: CycadaceaeOrigin : MexicoHeight in its natural environment : 15 mHardiness : -2°CColour of the flower : conesDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Giant Dioon,,,"Schotia brachypetala : Weeping Boer-beanFamily:FabaceaeOrigin : South Africa, ZimbabweHeight in its natural environment : 20 mHardiness : -5°CColour of the flower : redDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
Weeping Boer-bean,,,Tabernaemontana elegans : Toad treeOrigin : Eastern AfricaHeight in its natural environment : 12 mHardiness : -4°CFlower colour : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Toad tree,,,"Beaucarnea recurvata : Elephant's foot plantFamily : AsparagaceaeOrigin : Guatemala, MexicoHeight in its natural environment : 8 mHardiness : 4°CFlower colour : white - creamDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons)  Slow grower"
Elephant's foot plant,,,Corymbia citriodora : Lemon-scented gum treeFamily : MyrtaceaeOrigin : AustraliaHeight in its natural environment : 30 mHardiness : 2°CFlower colour : whiteDifficulty level : Expert  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Lemon-scented gum tree,,,Adenium obesum purple : Purple desert roseFamily : ApocynaceaeOrigin : Eastern and southern AfricaHeight in its natural environment : 2 mHardiness : 10°CFlower colour : Purple (dominant colour)Difficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Purple desert rose,,,"Vigna caracalla : Corkscrew vineFamily : FabaceaeOrigin : South AmericaHeight in its natural environment : 6 mHardiness : -6°CFlower colour: white and purple first, then purple/orangeDifficulty level : Beginner Height : about 10 to 20 cm (depending on seasons) Fats grower"
Corkscrew vine,,,Citrus bergamia : Bergamot orange treeFamily : RutaceaeOrigin : Middle eastHeight in its natural environment : 4 mHardiness : -5°CFlower colour: whiteDifficulty level : Beginner  Height: about 5 to 20 cm (depending on seasons)  Slow grower
Bergamot orange tree,,,Sansevieria hyacinthoides  : African Bowstring HempFamily: AsparagaceaeOrigin : Eastern AfricaHeight in its natural environment : 1 mHardiness : 10°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower
African bowstring hemp,,,Cordia sebestena : Geiger treeFamily: BoraginaceaeOrigin : CaribbeansHeight in its natural environment : 9 mHardiness : -1°CColour of the flower : OrangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Geiger tree,,,"Dioscorea elephantipes : Tortoise plantFamily : DioscoréaceaeOrigin : South AfricaHeight in its natural environment : 3 mHardiness: 10°CFlower colour : yellowDifficulty level : Expert  Height : 3 to 10 cm, depending of the season  Slow grower"
Tortoise Plant,,,"Albuca spiralis : Corkscrew albucaFamily : AsparagaceaeOrigin : South AfricaHeight in its natural environment : 0.20 mHardiness: 10°CFlower colour : yellow - greenDifficulty level : Expert  Height : 10 to 20 cm, depending on the season  Medium grower"
Corkscrew albuca,,,Antigonon leptopus'alba' : Liane corail blancheFamille : PolygonacéesOrigine : MexiqueHauteur dans son milieu naturel : 12 mRusticité : -7°CCouleur de la floraison : blancheDifficulty level : Beginner  Hauteur : environ 5 à 20 cm (selon les saisons)  Croissance rapide
White coral vine,,,Annona squamosa :Sugar-apple treeFamily : AnnonaceaeOrigin : South AmericaHeight in its natural environment : 6 mHardiness : 0°C (loses its eaves below 10°C)Flower colour : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  : medium grower
Sugar-apple tree,,,"Jatropha podagrica : Buddha Belly PlantFamily : EuphorbiaceesOrigin : Central AmericaHeight in its natural environment : 1,50 mHardiness: 12°CFlower color : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast Grower"
Buddha Belly Plant,,,Plumeria rubra pink : Pink Frangipani treeFamily : ApocynaceaesOrigine : MexicoHeight in its natural environment : 10mHardiness : 5°CFlower colour: predominantly pinkDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons) Fast grower
Pink Frangipani tree,,,Plumeria rubra red : Red Frangipani treeFamily : ApocynaceaesOrigine : MexicoHeight in its natural environment : 10mHardiness : 5°CFlower colour: predominantly redDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons) Fast grower
Red Frangipani tree,,,"Dietes iridioides : Fortnight lilyFamily: IridaceaeOrigin : South Africa, KenyaHeight in its natural environment : 0,6 mHardiness : -6°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Fortnight lily,,,Passiflora racemosa : Red passion vineFamily: PassifloraceaeOrigin : BrasilHeight in its natural environment : 10 mHardiness : -2°CColour of the flower : Red/PinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Red passion vine,,,"Chorisia speciosa : Silk floss treeFamily: MalvaceaeOrigin : Brasil, ArgentinaHeight in its natural environment : 18 mHardiness : -6°CColour of the flower : PinkDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
Silk floss tree,,,Pereskia bleo : Rose cactusFamily : CactaceaeOrigin : Colombia and PanamaHeight in its natural environment : 8 mHardiness : 10°CColour of the flower : red/orangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
